AENC;NUMC;NIND;ELEP;TH;CAPITAL;SEXO;EDAD;LNAC;NACI;NIVI;LEST3;RELA;TIPF;TGRU;SVIDA;SRELA;STGUS;SECON;SVIVI;SZONA;SRECR;STRAB;STIEM;MERECE;HABLAR;AYFAM;TENSO;MORAL;CALMA;DEPRE;FELIZ;CPER;CPOL;CJUS;CERTZ;SENSE;SVIVENT;SHOGTR;ANIMO;RELPER;CPUBLI;SITEC1;SAPER;RELFA1
2024;5964;2;442,46048;48;00009;6;03;1;1;;1;1;3;3;8;8;6;7;9;9;9;9;9;9;1;1;3;3;3;4;3;8;5;5;7;2;8;8;5;8;6;1;2;1
2024;5965;2;377,37714;48;00009;6;06;1;1;;1;3;3;3;9;9;10;9;9;7;7;97;;10;1;1;3;3;2;3;2;8;0;0;5;1;8;9;6;8;2;3;1;1
2024;5966;3;614,41942;48;00009;1;01;1;1;;3;1;4;2;8;8;8;8;9;9;9;9;6;9;1;1;5;5;2;5;2;6;0;0;8;1;9;8;8;8;3;3;1;1
2024;5968;1;191,75079;48;00009;1;04;1;1;;1;1;1;1;9;9;5;7;10;10;10;9;6;9;1;1;4;4;2;4;2;5;2;2;8;1;10;7;7;8;4;3;1;1
2024;5970;1;377,37714;48;00009;6;06;1;1;;3;3;3;3;8;8;10;8;9;9;8;97;;10;1;1;5;5;2;5;2;7;5;4;5;1;9;8;8;8;5;3;2;1
2024;5971;1;205,47328;48;00009;1;06;1;1;;1;3;1;1;8;3;10;6;6;6;6;97;;9;1;1;4;4;2;4;2;6;0;0;7;1;7;6;7;6;2;3;3;2
2024;5972;2;807,65769;48;00009;1;04;1;1;;3;1;4;2;9;9;9;7;9;9;9;7;7;8;1;1;3;3;2;3;2;8;4;4;5;1;9;7;6;8;4;2;3;1
2024;5974;1;592,62153;48;00009;6;05;4;1;;2;3;4;2;10;10;5;3;10;10;5;97;;10;1;1;5;5;2;5;2;8;0;0;7;1;8;3;8;8;2;2;2;1
2024;5975;4;819,22590;48;00009;1;01;1;1;;1;3;4;2;8;8;7;9;9;9;9;97;;10;1;1;5;5;2;5;2;7;7;7;8;1;9;9;8;8;7;3;1;1
2024;5976;1;188,68857;48;00009;6;07;4;1;;1;3;1;1;10;9;10;8;8;8;8;97;;10;1;1;3;4;2;4;2;5;0;0;8;2;8;8;7;8;3;3;2;2
2024;5978;3;614,41942;48;00009;1;01;1;1;;1;3;4;2;8;7;10;7;7;7;7;97;;7;1;1;3;3;2;3;2;6;0;0;7;1;7;7;6;7;2;1;1;1
2024;5979;1;377,37714;48;00009;6;06;1;1;;1;3;5;4;4;7;0;7;8;8;5;97;;6;1;1;4;4;2;4;2;7;0;0;5;2;7;7;7;7;2;3;3;1
2024;5980;1;188,68857;48;00009;6;07;4;1;;1;3;1;1;7;7;9;8;8;8;8;97;;9;1;1;3;3;2;3;2;6;4;4;5;2;8;8;6;7;4;3;2;1
2024;5982;1;485,21269;48;00009;1;03;1;1;;3;1;2;5;7;7;8;9;9;6;0;9;9;8;1;1;4;5;2;4;2;7;3;8;8;1;6;9;7;7;6;2;3;1
2024;5983;2;377,37714;48;00009;6;07;4;1;;1;3;3;3;10;10;10;10;10;10;10;97;;10;1;1;5;5;5;5;1;8;6;6;9;2;9;10;7;8;7;3;3;1
2024;5984;1;575,25237;48;00009;1;05;4;1;;1;1;4;2;10;10;10;10;10;10;10;10;10;10;1;1;4;4;2;4;1;10;5;5;6;2;9;10;7;8;5;3;1;1
2024;5985;1;410,94657;48;00009;1;06;4;1;;3;3;3;3;9;9;10;8;8;7;5;97;;9;1;1;3;5;2;4;2;8;6;5;7;2;7;8;7;8;6;3;2;1
2024;5986;3;870,21474;48;00009;1;02;1;1;;3;1;4;2;9;9;7;8;8;8;7;8;8;8;1;1;5;5;2;5;2;6;6;6;6;2;7;8;8;8;6;3;1;2
2024;5988;3;727,81903;48;00009;1;03;1;1;;3;2;4;2;8;9;9;7;8;8;9;97;;7;1;1;5;5;1;5;1;7;2;7;9;2;8;7;9;8;6;3;1;1
2024;5989;1;196,06779;48;00009;6;04;1;1;;2;1;1;1;9;10;6;6;8;8;8;8;9;9;1;1;3;5;2;5;2;8;5;5;5;3;7;8;7;8;5;1;3;1
2024;5990;1;183,72220;48;00009;1;06;1;1;;3;3;1;1;8;5;8;6;7;8;8;97;;7;1;1;3;3;3;2;3;7;4;3;5;1;8;6;5;7;4;2;3;1
2024;5991;4;1051,65069;48;00009;1;02;1;1;;1;3;4;2;5;5;5;4;8;10;10;97;;5;2;1;2;3;3;2;4;9;0;0;0;1;9;4;4;5;0;2;2;1
2024;5993;3;901,95416;48;00009;1;04;1;1;;3;1;6;5;8;8;8;8;8;8;8;6;7;8;1;1;3;3;2;3;2;6;3;0;5;1;8;7;6;8;3;3;1;1
2024;5996;2;434,53749;48;00009;6;02;1;1;;3;1;5;4;8;8;4;7;8;9;6;7;5;8;1;1;2;3;4;4;2;7;5;5;5;1;8;6;5;8;5;1;2;1
2024;5997;1;183,72220;48;00009;1;06;1;1;;2;3;1;1;8;8;8;8;8;10;8;97;;9;1;1;3;4;2;4;2;8;6;6;7;1;9;8;7;8;6;3;1;1
2024;5998;1;721,56333;48;00009;1;04;1;1;;3;1;4;2;8;9;8;8;9;10;9;8;8;6;1;2;3;5;2;5;2;7;6;3;7;1;9;8;7;6;5;3;1;1
2024;5999;2;396,94383;48;00009;6;03;1;1;;3;2;3;3;9;8;8;6;7;10;10;97;;10;1;1;3;5;2;5;1;9;7;7;6;1;9;6;8;8;7;1;1;1
2024;6000;2;367,44440;48;00009;1;06;1;1;;3;3;3;3;7;7;8;8;8;8;8;97;;8;1;1;3;3;2;4;2;8;8;5;5;3;7;8;6;7;6;3;3;1
2024;6001;2;341,75379;48;00009;1;05;4;1;;3;1;2;5;6;6;8;9;10;6;4;7;10;7;1;1;3;5;2;5;3;7;5;6;7;1;7;9;7;7;6;3;2;1
2024;6003;3;915,49007;48;00009;1;01;1;1;;2;3;4;2;8;8;10;9;9;9;9;97;;9;1;1;4;4;2;4;2;8;4;4;5;2;8;9;7;8;4;3;1;1
2024;788;1;119,97359;01;01059;1;07;5;1;;1;3;1;1;6;6;6;6;8;10;10;97;;6;1;1;5;5;2;5;2;7;7;7;7;2;9;6;8;7;7;2;2;1
2024;791;1;162,46713;01;01059;1;04;5;1;;1;1;1;1;5;6;6;4;4;6;5;5;6;5;1;2;3;3;3;3;4;4;0;0;0;1;6;5;5;5;0;1;2;1
2024;792;1;119,81118;01;01059;6;03;1;1;;3;1;1;1;7;7;2;7;6;7;8;9;5;9;1;1;3;3;3;3;3;7;4;6;6;4;6;7;5;7;5;1;2;1
2024;793;1;142,43972;01;01059;6;07;4;1;;1;3;1;1;7;7;7;6;5;5;5;97;;5;1;1;5;5;2;5;1;7;5;5;5;3;5;6;9;7;5;2;3;1
